iter	Passed	Remaining
455	562	671
456	564	670
457	565	669
458	566	668
459	567	666
460	569	665
461	570	664
462	571	662
463	572	661
464	573	660
465	574	658
466	575	656
467	576	655
468	577	653
469	579	652
470	580	651
471	581	650
472	582	649
473	583	647
474	584	646
475	585	644
476	586	643
477	587	641
478	588	640
479	590	639
480	591	637
481	592	636
482	593	635
483	595	634
484	596	633
485	597	632
486	599	631
487	600	629
488	601	628
489	602	627
490	603	625
491	604	624
492	605	623
493	606	621
494	608	620
495	610	620
496	611	619
497	613	618
498	614	617
499	616	616
500	617	615
501	619	614
502	620	612
503	621	611
504	622	610
505	623	609
506	625	608
507	626	606
508	627	605
509	628	604
510	630	603
511	631	601
512	632	600
513	633	598
514	634	597
515	635	596
516	636	594
517	638	593
518	639	592
519	641	591
520	642	590
521	643	589
522	644	588
523	645	586
524	646	585
525	647	583
526	648	582
527	649	580
528	650	579
529	651	578
530	653	577
531	654	575
532	655	574
533	656	573
534	658	571
535	659	570
536	660	569
537	661	567
538	662	566
539	663	565
540	664	564
541	665	562
542	667	561
543	668	560
544	670	559
545	671	558
546	672	556
547	673	555
548	674	554
549	675	552
550	676	551
551	678	550
552	679	549
553	680	547
554	681	546
555	682	544
556	683	543
557	685	542
558	686	541
559	687	540
560	688	538
561	689	537
562	690	536
563	691	534
564	692	533
565	693	532
566	694	530
567	695	529
568	697	527
569	698	526
570	700	525
571	701	524
572	702	523
573	703	522
574	705	521
575	706	519
576	707	518
577	708	517
578	709	516
579	710	514
580	711	513
581	713	512
582	714	511
583	715	509
584	716	508
585	718	507
586	719	506
587	720	504
588	721	503
589	722	501
590	723	500
591	724	499
592	725	497
593	726	496
594	727	495
595	729	494
596	730	492
597	731	491
598	732	490
599	733	489
600	734	487
601	735	486
602	736	485
603	737	483
604	738	482
605	739	480
606	740	479
607	741	478
608	743	477
609	744	475
610	745	474
611	746	473
612	747	471
613	748	470
614	749	469
615	751	468
616	752	466
617	753	465
618	754	464
619	755	462
620	756	461
621	757	460
622	758	459
623	759	457
624	760	456
625	761	455
626	762	453
627	764	452
628	765	451
629	766	449
630	767	448
631	768	447
632	769	446
633	770	444
634	771	443
635	772	442
636	774	441
637	775	439
638	776	438
639	777	437
640	779	436
641	779	434
642	780	433
643	781	432
644	783	430
645	783	429
646	784	428
647	785	426
648	787	425
649	788	424
650	790	423
651	791	422
652	792	421
653	793	420
654	795	418
655	796	417
656	797	416
657	798	414
658	798	413
659	799	412
660	801	410
661	802	409
662	803	408
663	804	407
664	805	406
665	807	404
666	808	403
667	809	402
668	810	400
669	811	399
670	812	398
671	813	396
672	814	395
673	815	394
674	816	392
675	817	391
676	818	390
677	819	389
678	820	388
679	821	386
680	823	385
681	824	384
682	825	383
683	826	381
684	827	380
685	828	379
686	829	377
687	830	376
688	831	375
689	833	374
690	834	373
691	835	371
692	836	370
693	837	369
694	839	368
695	840	367
696	841	365
697	842	364
698	843	363
699	844	361
700	845	360
701	846	359
702	847	358
703	849	357
704	850	355
705	851	354
706	852	353
707	854	352
708	855	350
709	856	349
710	857	348
711	858	347
712	859	345
713	860	344
714	861	343
715	863	342
716	864	341
717	865	340
718	866	338
719	868	337
720	869	336
721	870	335
722	871	333
723	872	332
724	873	331
725	874	330
726	875	328
727	876	327
728	878	326
729	879	325
730	880	324
731	881	322
732	882	321
733	883	320
734	884	319
735	885	317
736	886	316
737	887	315
738	888	313
739	889	312
740	890	311
741	891	310
742	893	309
743	894	307
744	895	306
745	896	305
746	898	304
747	899	302
748	900	301
749	901	300
750	902	299
751	903	297
752	904	296
753	905	295
754	906	294
755	907	292
756	909	291
757	909	290
758	911	289
759	912	288
760	913	286
761	914	285
762	915	284
763	916	283
764	917	281
765	918	280
766	920	279
767	921	278
768	922	277
769	924	276
770	925	274
771	926	273
772	927	272
773	928	271
774	929	269
775	930	268
776	931	267
777	932	266
778	933	264
779	934	263
780	935	262
781	937	261
782	938	260
783	939	258
784	941	257
785	942	256
786	943	255
787	944	254
788	945	252
789	946	251
790	947	250
791	948	249
792	949	247
793	950	246
794	952	245
795	953	244
796	954	243
797	956	242
798	957	240
799	958	239
800	959	238
801	961	237
802	962	236
803	963	234
804	964	233
805	965	232
806	967	231
807	968	230
808	969	228
809	970	227
810	971	226
811	973	225
812	974	224
813	975	222
814	976	221
815	977	220
816	978	219
817	979	217
818	979	216
819	980	215
820	982	214
821	984	213
822	985	211
823	986	210
824	988	209
825	989	208
826	990	207
827	991	205
828	992	204
829	993	203
830	994	202
831	995	201
832	997	199
833	998	198
834	999	197
835	1001	196
836	1002	195
837	1003	194
838	1004	192
839	1005	191
840	1006	190
841	1007	189
842	1008	187
843	1009	186
844	1010	185
845	1012	184
846	1013	183
847	1014	181
848	1015	180
849	1017	179
850	1018	178
851	1019	177
852	1020	175
853	1021	174
854	1022	173
855	1023	172
856	1024	170
857	1025	169
858	1027	168
859	1028	167
860	1030	166
861	1031	165
862	1032	163
863	1033	162
864	1035	161
865	1036	160
866	1037	159
867	1038	157
868	1039	156
869	1040	155
870	1042	154
871	1043	153
872	1044	151
873	1045	150
874	1047	149
875	1048	148
876	1049	147
877	1050	145
878	1051	144
879	1052	143
880	1053	142
881	1054	141
882	1055	139
883	1057	138
884	1058	137
885	1059	136
886	1060	135
887	1061	133
888	1062	132
889	1064	131
890	1065	130
891	1066	129
892	1067	127
893	1068	126
894	1069	125
895	1070	124
896	1072	123
897	1074	122
898	1075	120
899	1076	119
900	1078	118
901	1079	117
902	1080	116
903	1081	114
904	1082	113
905	1083	112
906	1084	111
907	1085	109
908	1086	108
909	1088	107
910	1089	106
911	1090	105
912	1092	104
913	1093	102
914	1094	101
915	1096	100
916	1097	99
917	1098	98
918	1099	96
919	1101	95
920	1103	94
921	1104	93
922	1105	92
923	1106	91
924	1108	89
925	1109	88
926	1110	87
927	1112	86
928	1113	85
929	1114	83
930	1115	82
931	1117	81
932	1118	80
933	1119	79
934	1121	77
935	1122	76
936	1124	75
937	1125	74
938	1126	73
939	1127	71
940	1128	70
941	1130	69
942	1131	68
943	1132	67
944	1134	66
945	1135	64
946	1136	63
947	1138	62
948	1139	61
949	1140	60
950	1141	58
951	1142	57
952	1144	56
953	1145	55
954	1146	54
955	1148	52
956	1149	51
957	1150	50
958	1152	49
959	1153	48
960	1154	46
961	1155	45
962	1157	44
963	1158	43
964	1159	42
965	1160	40
966	1162	39
967	1163	38
968	1165	37
969	1166	36
970	1167	34
971	1168	33
972	1170	32
973	1171	31
974	1172	30
975	1173	28
976	1174	27
977	1176	26
978	1178	25
979	1179	24
980	1180	22
981	1182	21
982	1183	20
983	1184	19
984	1185	18
985	1186	16
986	1188	15
987	1189	14
988	1190	13
989	1192	12
990	1193	10
991	1195	9
992	1196	8
993	1197	7
994	1198	6
995	1200	4
996	1201	3
997	1202	2
998	1203	1
999	1204	0
